order_id,product_id,category,warehouse_id,season,storage_type,perishable,fragile,on_hand_qty,avg_daily_sales,demand_std,lead_time_days,supplier_score,reorder_point,safety_stock,days_since_last_reorder,last_reorder_date,unit_weight_kg,unit_volume_m3,last_purchase_price,promotion,backorder_count,returns_rate,target_stockout_risk
O00602,P0174,Clothing,W2,Q4,Rack,0,0,65.0,4.6,0.47,7.0,89.0,37,5,22,2025-10-23,10.395,0.0093,2.28,0,1,0.022,0
O00448,P0055,Clothing,W1,Q2,Pallet,0,0,44.0,4.38,2.06,5.0,60.0,37,15,18,2025-10-27,0.288,0.2017,4.03,0,3,0.023,0
O00830,P0144,Chemicals,W1,Q2,Pallet,0,0,71.0,7.17,2.09,9.0,68.0,93,28,4,2025-11-10,18.193,0.4185,2.78,0,0,0.029,1
O00651,P0198,Accessories,W5,Q1,Pallet,0,1,55.0,3.71,1.79,10.0,83.0,64,27,7,2025-11-07,5.329,0.4057,1.79,0,0,0.024,1
O00599,P0088,Hardware,W1,Q4,Shelf,0,0,56.0,6.25,3.09,8.0,78.0,87,37,2,2025-11-12,19.103,0.3441,1.2,0,0,0.008,1
O00545,P0103,Electronics,W4,Q2,Shelf,0,1,62.0,9.3,3.84,6.0,89.0,91,35,10,2025-11-04,12.591,0.1969,4.8,0,0,0.012,0
O00785,P0188,Clothing,W3,Q2,Rack,0,0,21.0,2.92,0.64,9.0,82.0,35,9,0,2025-11-14,13.458,0.0805,2.57,0,0,0.009,0
O00306,P0118,Accessories,W3,Q3,Rack,0,0,79.0,7.76,2.66,7.0,74.0,82,28,0,2025-11-14,8.589,0.4907,1.82,0,1,0.014,1
O00319,P0003,Perishables,W5,Q1,Rack,1,0,36.0,3.06,1.39,10.0,77.0,52,21,27,2025-10-18,12.862,0.4752,0.42,0,1,0.048,1
O00761,P0126,Clothing,W3,Q4,Pallet,0,0,39.0,4.47,1.54,9.0,87.0,61,21,21,2025-10-24,24.834,0.0438,2.13,0,0,0.03,0
O00495,P0017,Hardware,W4,Q1,Pallet,0,0,30.0,3.59,2.28,6.0,79.0,43,21,9,2025-11-05,3.702,0.0949,1.94,0,0,0.026,1
O00266,P0067,Chemicals,W4,Q3,Pallet,0,0,66.0,3.95,1.48,10.0,64.0,62,22,3,2025-11-11,11.181,0.1738,3.82,0,3,0.0,0
O00111,P0186,Accessories,W5,Q3,Rack,0,0,33.0,4.97,0.01,7.0,76.0,35,0,9,2025-11-05,8.842,0.4208,3.75,0,1,0.02,1
O00694,P0197,Hardware,W5,Q3,Rack,0,0,33.0,5.67,4.32,8.0,67.0,97,52,4,2025-11-10,21.05,0.1101,4.32,0,3,0.011,1
O00945,P0090,Hardware,W3,Q2,Shelf,0,0,22.0,5.89,5.52,9.0,84.0,128,75,15,2025-10-30,16.429,0.2334,4.53,1,2,0.034,1
O00528,P0061,Electronics,W1,Q4,Shelf,0,1,117.0,21.33,2.37,10.0,60.0,249,36,11,2025-11-03,18.816,0.2016,10.55,1,4,0.017,1
O00257,P0095,Accessories,W3,Q4,Pallet,0,1,40.0,1.64,0.85,5.0,91.0,14,6,3,2025-11-11,2.289,0.4555,2.7,0,0,0.018,0
O00261,P0132,Chemicals,W2,Q2,Pallet,0,0,68.0,7.52,3.74,7.0,66.0,92,39,2,2025-11-12,5.867,0.3744,2.23,0,4,0.019,1
O00635,P0179,Perishables,W1,Q4,Shelf,1,0,83.0,15.15,10.07,9.0,88.0,272,136,30,2025-10-15,19.835,0.2896,4.33,0,0,0.042,0
O00824,P0055,Hardware,W5,Q3,Rack,0,0,59.0,5.74,2.21,8.0,70.0,73,27,17,2025-10-28,18.825,0.2305,5.64,0,1,0.018,0
O00430,P0168,Hardware,W3,Q4,Pallet,0,0,24.0,1.07,0.38,13.0,87.0,21,7,11,2025-11-03,0.659,0.2062,0.88,0,0,0.009,0
O00631,P0109,Electronics,W5,Q1,Pallet,0,1,7.0,2.47,1.3,5.0,80.0,22,10,32,2025-10-13,0.993,0.3911,10.01,0,0,0.018,0
O00381,P0177,Chemicals,W1,Q3,Rack,0,0,20.0,3.84,1.27,8.0,70.0,46,15,17,2025-10-28,18.115,0.0603,1.39,1,1,0.021,1
O00434,P0138,Hardware,W3,Q3,Rack,0,0,91.0,10.27,5.63,13.0,64.0,244,110,6,2025-11-08,3.317,0.3483,1.96,0,0,0.013,1
O00735,P0069,Clothing,W5,Q3,Shelf,0,0,16.0,1.56,0.76,5.0,91.0,14,6,0,2025-11-14,5.311,0.1197,6.58,0,4,0.0,0
O00138,P0128,Chemicals,W3,Q3,Rack,0,0,91.0,10.3,2.59,12.0,79.0,171,47,3,2025-11-11,12.911,0.1979,5.29,0,1,0.017,1
O00358,P0142,Perishables,W3,Q4,Shelf,1,0,82.0,6.61,2.24,13.0,76.0,130,44,4,2025-11-10,7.946,0.3871,2.49,0,0,0.054,1
O00529,P0023,Perishables,W5,Q2,Shelf,1,0,51.0,8.12,6.75,10.0,83.0,182,101,14,2025-10-31,5.714,0.111,1.97,1,2,0.029,1
O00222,P0011,Hardware,W4,Q2,Shelf,0,0,70.0,12.4,6.02,8.0,74.0,171,72,4,2025-11-10,12.673,0.0814,2.89,0,2,0.008,0
O00757,P0152,Accessories,W4,Q4,Rack,0,0,46.0,2.45,0.63,8.0,94.0,28,8,5,2025-11-09,1.624,0.3947,1.85,0,0,0.02,0
O00597,P0190,Electronics,W1,Q1,Pallet,0,0,59.0,5.55,1.82,5.0,86.0,42,14,14,2025-10-31,10.75,0.3035,9.37,0,0,0.028,0
O00560,P0160,Clothing,W5,Q1,Pallet,0,0,84.0,8.79,7.24,14.0,68.0,275,152,2,2025-11-12,17.629,0.05,0.94,0,1,0.015,1
O00364,P0165,Chemicals,W4,Q2,Shelf,0,0,64.0,3.21,0.97,10.0,55.0,47,15,10,2025-11-04,6.438,0.0472,3.23,0,2,0.018,0
O00526,P0168,Hardware,W5,Q2,Shelf,0,0,35.0,7.31,1.92,8.0,77.0,81,23,0,2025-11-14,24.623,0.439,3.95,1,1,0.028,1
O00209,P0118,Electronics,W3,Q4,Rack,0,0,46.0,0.21,0.01,10.0,76.0,2,0,16,2025-10-29,19.016,0.0619,5.12,0,0,0.013,0
O00412,P0190,Hardware,W5,Q2,Pallet,0,0,,,0.24,,,22,4,7,2025-11-07,16.362,0.1938,0.91,0,1,0.019,0
O00335,P0001,Chemicals,W2,Q1,Rack,0,0,30.0,3.69,2.06,9.0,64.0,61,28,6,2025-11-08,18.903,0.337,8.2,0,0,0.004,1
O00211,P0177,Perishables,W1,Q1,Shelf,1,0,55.0,9.7,0.23,9.0,61.0,90,3,19,2025-10-26,5.078,0.4672,5.71,0,2,0.045,1
O00351,P0077,Chemicals,W2,Q1,Shelf,0,0,49.0,2.24,1.47,11.0,56.0,49,24,19,2025-10-26,6.215,0.3472,58.58,0,0,0.005,0
O00079,P0122,Clothing,W3,Q3,Pallet,0,0,71.0,5.94,3.44,6.0,87.0,67,31,11,2025-11-03,2.434,0.3121,16.09,0,0,0.008,0
O00030,P0019,Accessories,W2,Q4,Shelf,0,1,30.0,6.09,1.09,8.0,78.0,62,13,6,2025-11-08,16.706,0.0866,4.02,0,0,0.012,1
O00281,P0165,Accessories,W3,Q2,Rack,0,0,,,0.85,,,51,10,3,2025-11-11,2.22,0.152,5.15,0,1,0.001,1
O00586,P0137,Accessories,W1,Q1,Rack,0,0,68.0,3.32,1.93,13.0,76.0,81,38,9,2025-11-05,9.227,0.2081,2.0,0,1,0.033,1
O00753,P0159,Hardware,W1,Q4,Rack,0,0,38.0,6.34,1.29,9.0,78.0,74,17,6,2025-11-08,16.356,0.0734,1.79,0,0,0.014,1
O00781,P0016,Perishables,W2,Q1,Rack,1,0,11.0,3.73,1.7,5.0,100.0,32,13,1,2025-11-13,12.717,0.3464,7.0,0,0,0.045,1
O00290,P0130,Clothing,W2,Q3,Pallet,0,0,21.0,4.8,1.29,9.0,99.0,60,17,3,2025-11-11,4.585,0.2523,2.78,1,0,0.018,1
O00166,P0094,Accessories,W5,Q2,Shelf,0,1,40.0,2.98,0.59,9.0,73.0,35,8,7,2025-11-07,8.954,0.1772,1.11,0,2,0.009,0
O00606,P0025,Clothing,W2,Q3,Shelf,0,0,85.0,9.12,6.16,10.0,82.0,183,92,12,2025-11-02,21.371,0.3431,2.99,0,1,0.013,1
O00875,P0088,Clothing,W5,Q1,Rack,0,0,42.0,7.94,4.56,8.0,92.0,119,55,6,2025-11-08,18.345,0.2835,2.38,0,0,0.023,0
O00721,P0148,Perishables,W4,Q4,Shelf,1,0,68.0,3.89,2.18,9.0,75.0,64,29,6,2025-11-08,21.915,0.2222,4.28,0,1,0.037,0
O00066,P0160,Perishables,W1,Q3,Rack,1,0,37.0,1.21,0.92,11.0,69.0,28,15,0,2025-11-14,23.408,0.0265,4.54,0,4,0.05,0
O00142,P0169,Clothing,W2,Q4,Shelf,0,0,39.0,3.04,0.54,9.0,92.0,34,7,4,2025-11-10,16.87,0.1303,3.31,0,0,0.018,0
O00276,P0133,Hardware,W3,Q2,Pallet,0,0,38.0,4.33,3.2,9.0,96.0,82,43,0,2025-11-14,17.308,0.3308,1.58,0,0,0.022,0
O00836,P0053,Chemicals,W2,Q2,Rack,0,0,18.0,1.93,0.76,9.0,60.0,27,10,3,2025-11-11,0.74,0.3259,1.2,0,1,0.039,1
O00656,P0100,Chemicals,W1,Q1,Rack,0,0,74.0,5.52,1.59,10.0,49.0,79,24,24,2025-10-21,4.67,0.061,4.21,0,0,0.021,1
O00466,P0080,Chemicals,W2,Q1,Pallet,0,0,50.0,1.8,0.52,4.0,90.0,10,3,1,2025-11-13,19.602,0.1972,7.58,0,0,0.025,0
O00671,P0085,Clothing,W4,Q3,Shelf,0,0,60.0,4.84,2.07,7.0,76.0,56,22,13,2025-11-01,17.811,0.0297,1.4,0,2,0.021,0
O00320,P0165,Accessories,W5,Q2,Shelf,0,0,,,0.88,,,19,8,29,2025-10-16,7.662,0.0848,0.6,0,0,0.016,0
O00399,P0047,Chemicals,W5,Q4,Pallet,0,0,51.0,1.57,0.78,12.0,71.0,33,14,11,2025-11-03,3.567,0.2903,13.5,0,1,0.01,0
O00307,P0178,Perishables,W5,Q2,Shelf,1,0,81.0,12.31,7.86,10.0,81.0,241,118,1,2025-11-13,9.062,0.3188,2.32,0,0,0.034,1
O00308,P0077,Hardware,W3,Q2,Shelf,0,0,84.0,6.91,2.47,11.0,84.0,117,41,5,2025-11-09,3.651,0.0472,5.75,0,0,0.017,1
O00829,P0182,Electronics,W3,Q1,Shelf,0,1,46.0,5.14,2.18,6.0,86.0,51,20,13,2025-11-01,8.524,0.1715,1.12,0,0,0.025,1
O00334,P0015,Accessories,W4,Q3,Rack,0,0,45.0,5.78,1.33,9.0,97.0,70,18,6,2025-11-08,7.193,0.1241,7.97,0,1,0.033,1
O00050,P0176,Chemicals,W3,Q4,Rack,0,0,31.0,2.71,0.26,10.0,77.0,31,4,14,2025-10-31,2.168,0.038,7.19,0,1,0.038,0
O00826,P0073,Hardware,W5,Q1,Shelf,0,0,52.0,8.96,2.93,8.0,85.0,107,35,11,2025-11-03,4.984,0.4098,4.95,0,1,0.003,1
O00003,P0056,Hardware,W5,Q1,Rack,0,0,61.0,5.29,2.53,9.0,69.0,82,34,7,2025-11-07,13.69,0.0928,4.91,0,0,0.022,1
O00549,P0105,Chemicals,W4,Q3,Rack,0,0,18.0,2.46,0.71,12.0,59.0,43,13,19,2025-10-26,16.126,0.0665,4.88,0,1,0.037,1
O00353,P0021,Clothing,W3,Q2,Pallet,0,0,34.0,10.67,4.87,6.0,87.0,108,44,5,2025-11-09,5.807,0.146,3.34,0,1,0.017,1
O00913,P0141,Electronics,W1,Q3,Rack,0,1,56.0,6.74,1.76,10.0,63.0,93,26,1,2025-11-13,22.633,0.0806,14.76,0,1,0.012,1
O00952,P0046,Chemicals,W4,Q2,Pallet,0,0,47.0,4.67,0.39,6.0,61.0,32,4,22,2025-10-23,17.389,0.499,24.69,0,0,0.025,0
O00347,P0134,Hardware,W4,Q3,Shelf,0,0,16.0,3.93,1.8,9.0,83.0,59,24,6,2025-11-08,18.15,0.0571,1.81,0,0,0.049,0
O00243,P0021,Electronics,W3,Q2,Pallet,0,0,71.0,5.09,2.38,9.0,72.0,78,32,16,2025-10-29,23.646,0.1254,16.84,0,1,0.029,1
O00825,P0187,Hardware,W1,Q1,Shelf,0,0,31.0,6.0,3.36,6.0,87.0,66,30,40,2025-10-05,6.158,0.1885,1.31,0,0,0.02,0
O00582,P0075,Clothing,W5,Q3,Rack,0,0,59.0,9.12,0.01,8.0,79.0,73,0,17,2025-10-28,24.904,0.1651,5.25,0,0,0.035,1
O00034,P0028,Hardware,W2,Q4,Pallet,0,0,24.0,6.21,1.75,8.0,73.0,71,21,5,2025-11-09,24.56,0.0565,1.36,0,0,0.014,1
O00032,P0169,Clothing,W3,Q4,Shelf,0,0,34.0,2.47,1.41,4.0,73.0,18,8,2,2025-11-12,6.768,0.189,1.23,0,0,0.009,0
O00232,P0043,Chemicals,W4,Q4,Pallet,0,0,48.0,5.7,2.85,7.0,61.0,70,30,5,2025-11-09,8.217,0.4891,5.59,0,0,0.014,1
O00755,P0044,Electronics,W1,Q3,Rack,0,0,41.0,6.74,0.01,7.0,85.0,47,0,1,2025-11-13,23.63,0.3947,2.64,0,0,0.017,1
O00193,P0144,Accessories,W3,Q1,Rack,0,1,49.0,2.03,0.95,7.0,76.0,24,10,14,2025-10-31,5.961,0.3389,4.92,0,0,0.021,0
O00515,P0188,Chemicals,W3,Q2,Pallet,0,0,67.0,5.58,2.33,6.0,83.0,54,21,15,2025-10-30,19.144,0.3485,3.44,1,0,0.043,0
O00004,P0167,Chemicals,W5,Q2,Shelf,0,0,32.0,0.99,0.17,8.0,56.0,10,2,0,2025-11-14,16.317,0.3536,8.23,0,2,0.012,0
O00205,P0012,Hardware,W4,Q1,Rack,0,0,88.0,13.79,8.47,12.0,75.0,317,152,27,2025-10-18,4.571,0.3116,1.53,0,0,0.01,1
O00540,P0187,Electronics,W1,Q4,Shelf,0,0,42.0,7.82,3.78,5.0,91.0,67,28,0,2025-11-14,21.148,0.3645,7.31,0,1,0.025,1
O00663,P0186,Perishables,W2,Q2,Shelf,1,0,132.0,22.96,10.52,11.0,84.0,427,174,12,2025-11-02,1.535,0.291,2.59,0,0,0.04,0
O00989,P0112,Hardware,W2,Q4,Rack,0,0,24.0,1.74,1.14,10.0,85.0,34,17,13,2025-11-01,22.162,0.3256,1.2,0,0,0.04,1
O00110,P0138,Chemicals,W2,Q2,Pallet,0,0,76.0,5.22,1.77,9.0,88.0,71,24,4,2025-11-10,9.904,0.4142,1.55,0,0,0.025,0
O00603,P0008,Chemicals,W2,Q4,Shelf,0,0,12.0,2.54,0.83,8.0,75.0,30,10,4,2025-11-10,13.455,0.0165,11.13,0,0,0.01,1
O00078,P0157,Chemicals,W5,Q4,Shelf,0,0,56.0,5.49,2.33,12.0,72.0,108,42,17,2025-10-28,17.689,0.1144,5.24,0,0,0.006,1
O00085,P0100,Clothing,W5,Q2,Rack,0,0,57.0,8.15,2.03,8.0,85.0,89,24,4,2025-11-10,24.391,0.3207,2.27,0,2,0.022,1
O00527,P0053,Hardware,W4,Q3,Rack,0,0,53.0,2.89,0.87,7.0,81.0,29,9,9,2025-11-05,5.842,0.001,2.36,0,1,0.034,0
O00083,P0085,Accessories,W4,Q1,Shelf,0,1,48.0,4.48,0.7,12.0,70.0,67,13,1,2025-11-13,24.812,0.4635,7.17,0,2,0.021,1
O00255,P0200,Electronics,W3,Q1,Shelf,0,0,46.0,3.91,1.12,11.0,82.0,61,18,2,2025-11-12,3.693,0.3753,19.02,0,0,0.025,1
O00765,P0137,Perishables,W4,Q1,Pallet,1,0,22.0,2.52,0.4,8.0,85.0,25,5,3,2025-11-11,10.445,0.1771,19.16,0,0,0.046,0
O00429,P0185,Clothing,W5,Q4,Pallet,0,0,11.0,2.51,0.83,7.0,88.0,27,9,7,2025-11-07,14.093,0.157,6.23,0,1,0.011,1
O00916,P0143,Clothing,W3,Q2,Shelf,0,0,36.0,9.97,4.02,3.0,88.0,48,18,6,2025-11-08,19.495,0.118,4.26,0,2,0.024,1
O00524,P0044,Clothing,W2,Q1,Rack,0,0,55.0,5.05,3.2,9.0,81.0,88,43,20,2025-10-25,13.978,0.1627,0.72,0,0,0.001,0
O00468,P0192,Perishables,W1,Q3,Pallet,1,0,41.0,2.61,1.85,10.0,99.0,54,28,1,2025-11-13,14.932,0.1379,4.38,0,0,0.056,0
O00645,P0090,Hardware,W2,Q3,Rack,0,0,56.0,8.61,3.07,8.0,82.0,106,37,9,2025-11-05,7.898,0.2808,7.72,0,1,0.021,1
O00006,P0196,Perishables,W1,Q4,Pallet,1,0,73.0,11.86,6.92,10.0,71.0,223,104,22,2025-10-23,13.507,0.4038,3.54,0,1,0.037,1
O00406,P0067,Hardware,W5,Q2,Rack,0,0,70.0,7.18,1.64,14.0,72.0,135,34,3,2025-11-11,16.576,0.0796,1.48,0,0,0.024,1
O00469,P0017,Perishables,W5,Q1,Rack,1,0,121.0,15.72,10.23,11.0,93.0,342,169,0,2025-11-14,17.428,0.1883,0.81,0,0,0.045,1
O00098,P0170,Perishables,W1,Q3,Rack,1,0,41.0,10.79,4.8,8.0,97.0,144,58,11,2025-11-03,0.13,0.31,5.73,0,0,0.034,1
O00927,P0085,Clothing,W3,Q3,Shelf,0,0,38.0,5.07,1.18,11.0,73.0,75,19,4,2025-11-10,1.917,0.2378,3.6,1,0,0.014,1
O00360,P0185,Clothing,W3,Q3,Pallet,0,0,36.0,3.71,1.6,8.0,67.0,49,19,24,2025-10-21,15.866,0.0364,2.86,0,1,0.012,1
O00877,P0040,Chemicals,W4,Q3,Rack,0,0,40.0,3.81,0.58,8.0,98.0,37,7,23,2025-10-22,14.378,0.1746,12.48,0,0,0.026,0
O00267,P0126,Hardware,W1,Q1,Pallet,0,0,56.0,7.45,2.93,7.0,77.0,83,31,6,2025-11-08,10.757,0.0379,1.53,0,0,0.014,0
O00423,P0081,Clothing,W5,Q3,Pallet,0,0,7.0,1.24,0.45,8.0,78.0,15,5,8,2025-11-06,24.403,0.2664,2.21,0,0,0.007,0
O00463,P0053,Hardware,W5,Q4,Shelf,0,0,94.0,12.22,4.31,11.0,60.0,205,71,0,2025-11-14,23.12,0.0567,2.18,0,1,0.013,1
O00696,P0034,Electronics,W1,Q4,Pallet,0,0,68.0,5.61,2.26,8.0,100.0,72,27,18,2025-10-27,3.75,0.3422,21.12,1,1,0.02,1
O00974,P0063,Accessories,W1,Q1,Pallet,0,0,,,0.67,,,36,7,22,2025-10-23,24.74,0.0584,1.19,0,1,0.035,0
O00494,P0162,Chemicals,W1,Q3,Rack,0,0,25.0,6.88,1.35,7.0,75.0,62,14,2,2025-11-12,0.058,0.3578,3.17,1,0,0.017,1
O00119,P0151,Clothing,W3,Q1,Rack,0,0,64.0,5.16,1.29,8.0,80.0,56,15,7,2025-11-07,7.373,0.4659,1.46,0,1,0.018,0
O00972,P0036,Perishables,W2,Q2,Pallet,1,0,56.0,7.43,2.52,9.0,100.0,101,34,4,2025-11-10,20.27,0.2844,2.19,1,0,0.032,1
O00251,P0140,Perishables,W2,Q4,Rack,1,0,59.0,4.61,2.28,7.0,72.0,56,24,20,2025-10-25,22.637,0.2467,1.53,0,1,0.037,0
O00343,P0108,Accessories,W1,Q2,Pallet,0,1,65.0,5.5,3.2,7.0,90.0,72,34,0,2025-11-14,6.296,0.3348,3.0,1,1,0.008,1
O00010,P0117,Chemicals,W3,Q3,Pallet,0,0,42.0,2.94,0.45,10.0,72.0,36,7,10,2025-11-04,1.719,0.0812,2.57,0,1,0.022,0
O00197,P0197,Accessories,W5,Q1,Rack,0,0,53.0,1.8,0.36,7.0,99.0,17,4,17,2025-10-28,20.034,0.0527,1.1,0,0,0.044,0
O00742,P0066,Clothing,W1,Q3,Shelf,0,0,44.0,8.05,5.84,8.0,73.0,134,70,7,2025-11-07,23.917,0.1959,2.14,0,0,0.025,1
O00082,P0099,Chemicals,W2,Q2,Rack,0,0,11.0,1.46,0.68,6.0,72.0,15,6,6,2025-11-08,1.24,0.2814,14.39,0,1,0.01,1
O00949,P0071,Clothing,W3,Q2,Shelf,0,0,70.0,12.23,6.48,4.0,73.0,88,39,26,2025-10-19,14.484,0.0899,3.67,1,2,0.012,1
O00480,P0089,Chemicals,W1,Q1,Shelf,0,0,52.0,1.89,1.02,8.0,61.0,27,12,11,2025-11-03,14.054,0.3606,4.47,0,1,0.027,0
O00626,P0035,Hardware,W4,Q3,Rack,0,0,65.0,10.4,1.54,6.0,79.0,76,14,11,2025-11-03,3.084,0.033,1.22,0,2,0.03,1
O00240,P0096,Hardware,W4,Q3,Pallet,0,0,39.0,9.44,4.83,6.0,71.0,100,43,14,2025-10-31,17.307,0.4828,3.16,1,0,0.024,1
O00293,P0146,Accessories,W2,Q3,Shelf,0,1,54.0,6.7,3.78,9.0,78.0,111,51,3,2025-11-11,15.996,0.1708,3.51,0,0,0.018,1
O00212,P0103,Accessories,W1,Q3,Shelf,0,0,32.0,3.79,2.41,9.0,89.0,67,33,11,2025-11-03,14.405,0.2148,1.06,0,0,0.013,1
O00901,P0090,Clothing,W4,Q3,Pallet,0,0,94.0,9.04,1.03,9.0,82.0,95,14,13,2025-11-01,15.786,0.2138,7.61,0,1,0.012,1
O00362,P0149,Chemicals,W4,Q2,Shelf,0,0,33.0,2.51,0.96,11.0,66.0,44,16,6,2025-11-08,17.929,0.4035,2.3,0,0,0.016,1
O00533,P0068,Clothing,W4,Q2,Shelf,0,0,30.0,2.06,1.23,13.0,75.0,51,24,24,2025-10-21,3.184,0.2095,2.66,0,0,0.0,1
O00228,P0131,Perishables,W1,Q3,Shelf,1,0,25.0,3.88,1.66,9.0,81.0,57,22,0,2025-11-14,11.074,0.0821,9.69,0,0,0.035,0
O00865,P0180,Accessories,W5,Q2,Rack,0,0,72.0,4.77,0.01,9.0,89.0,43,0,11,2025-11-03,6.482,0.1229,7.83,0,1,0.009,0
O00363,P0098,Accessories,W2,Q3,Shelf,0,1,41.0,3.86,1.5,7.0,86.0,43,16,3,2025-11-11,4.36,0.19,7.01,0,1,0.027,1
O00853,P0046,Clothing,W5,Q2,Rack,0,0,68.0,7.45,1.27,8.0,72.0,75,15,10,2025-11-04,14.007,0.0234,6.67,1,1,0.02,1
O00955,P0001,Electronics,W4,Q2,Shelf,0,0,38.0,1.17,0.43,10.0,63.0,18,6,5,2025-11-09,10.287,0.202,3.69,0,3,0.023,0
O00965,P0087,Chemicals,W1,Q1,Shelf,0,0,48.0,5.72,2.35,11.0,67.0,102,39,3,2025-11-11,7.293,0.4296,41.79,0,1,0.011,1
O00366,P0016,Accessories,W1,Q1,Pallet,0,0,66.0,7.92,3.23,10.0,58.0,127,48,30,2025-10-15,16.071,0.1494,8.38,0,1,0.008,1
O00771,P0193,Hardware,W1,Q4,Shelf,0,0,19.0,2.73,2.28,10.0,64.0,61,34,4,2025-11-10,22.037,0.3076,3.15,0,0,0.033,1
O00860,P0128,Accessories,W1,Q4,Rack,0,1,,,0.68,,,39,12,21,2025-10-24,22.771,0.4794,3.3,0,0,0.022,0
O00372,P0069,Clothing,W1,Q4,Shelf,0,0,42.0,4.4,1.29,8.0,83.0,50,15,4,2025-11-10,10.839,0.3118,2.73,0,0,0.012,1
O00008,P0076,Chemicals,W5,Q2,Shelf,0,0,59.0,3.17,1.77,10.0,81.0,59,27,10,2025-11-04,10.734,0.0456,3.57,1,1,0.037,0
O00156,P0118,Perishables,W1,Q3,Shelf,1,0,106.0,14.89,2.97,9.0,80.0,174,40,4,2025-11-10,18.331,0.2026,1.13,0,0,0.033,1
O00546,P0096,Electronics,W3,Q3,Shelf,0,1,49.0,4.0,1.05,7.0,84.0,39,11,0,2025-11-14,10.486,0.2239,13.38,0,0,0.042,0
O00808,P0124,Hardware,W4,Q1,Rack,0,0,47.0,1.81,0.61,8.0,83.0,21,7,1,2025-11-13,2.106,0.4216,2.48,0,0,0.02,0
O00486,P0101,Chemicals,W3,Q4,Shelf,0,0,39.0,4.8,4.75,9.0,56.0,107,64,29,2025-10-16,18.049,0.4379,13.19,0,2,0.02,1
O00585,P0044,Electronics,W3,Q1,Rack,0,1,56.0,3.78,1.9,9.0,86.0,60,26,19,2025-10-26,19.403,0.1155,19.05,0,0,0.008,0
O00786,P0116,Perishables,W3,Q3,Rack,1,0,75.0,13.4,5.38,9.0,86.0,194,73,7,2025-11-07,18.502,0.3027,1.3,1,1,0.037,1
O00571,P0119,Electronics,W4,Q1,Pallet,0,1,17.0,5.77,2.81,4.0,76.0,40,17,8,2025-11-06,7.058,0.3641,5.06,0,0,0.002,0
O00478,P0119,Perishables,W5,Q2,Shelf,1,0,85.0,7.55,2.13,11.0,80.0,118,35,5,2025-11-09,13.627,0.272,9.43,0,0,0.04,1
O00583,P0035,Perishables,W4,Q2,Shelf,1,0,74.0,10.39,4.44,11.0,88.0,187,73,4,2025-11-10,11.79,0.1576,5.5,0,2,0.045,1
O00943,P0198,Hardware,W5,Q2,Shelf,0,0,25.0,4.08,0.01,6.0,84.0,24,0,23,2025-10-22,0.574,0.2376,3.59,0,1,0.038,0
O00698,P0155,Accessories,W1,Q4,Rack,0,0,48.0,5.4,2.65,8.0,76.0,75,32,4,2025-11-10,4.286,0.2906,1.44,0,0,0.016,1
O00833,P0100,Electronics,W5,Q2,Shelf,0,1,48.0,7.98,4.01,6.0,79.0,84,36,1,2025-11-13,3.569,0.3285,1.95,0,1,0.035,1
O00535,P0194,Accessories,W2,Q1,Rack,0,0,59.0,8.18,0.69,8.0,87.0,73,8,3,2025-11-11,4.033,0.103,1.77,0,0,0.025,1
O00588,P0065,Clothing,W2,Q1,Pallet,0,0,44.0,5.2,0.8,9.0,97.0,58,11,1,2025-11-13,5.208,0.311,5.81,0,0,0.027,0
O00715,P0062,Chemicals,W1,Q1,Pallet,0,0,41.0,6.73,1.69,7.0,91.0,65,18,2,2025-11-12,16.066,0.2001,11.83,0,0,0.013,0
O00452,P0113,Perishables,W2,Q2,Rack,1,0,66.0,8.78,3.51,9.0,60.0,126,47,12,2025-11-02,4.478,0.1265,1.76,0,2,0.025,1
O00457,P0166,Electronics,W2,Q4,Shelf,0,1,41.0,3.08,1.57,8.0,74.0,44,19,6,2025-11-08,0.539,0.2687,15.76,0,0,0.021,1
O00229,P0088,Clothing,W2,Q2,Pallet,0,0,36.0,5.75,1.87,12.0,55.0,103,34,0,2025-11-14,1.825,0.2871,6.12,1,2,0.022,1
O00319,P0003,Perishables,W5,Q1,Rack,1,0,36.0,3.06,1.39,10.0,77.0,52,21,27,2025-10-18,12.862,0.4752,0.42,0,1,0.048,1
O00750,P0006,Hardware,W2,Q3,Rack,0,0,117.0,16.01,6.65,10.0,70.0,260,100,21,2025-10-24,21.29,0.217,0.66,0,1,0.033,1
O00213,P0044,Electronics,W5,Q1,Rack,0,0,66.0,9.14,1.85,10.0,66.0,119,28,13,2025-11-01,8.566,0.1916,6.25,0,1,0.025,1
O00080,P0125,Chemicals,W2,Q4,Shelf,0,0,19.0,4.08,2.42,9.0,70.0,70,33,9,2025-11-05,9.955,0.4939,43.31,0,0,0.012,1
O00149,P0085,Chemicals,W5,Q3,Shelf,0,0,50.0,3.08,1.46,8.0,40.0,43,18,2,2025-11-12,1.46,0.035,7.46,0,3,0.027,0
O00303,P0005,Clothing,W3,Q2,Shelf,0,0,66.0,10.1,2.27,9.0,78.0,122,31,1,2025-11-13,19.528,0.4551,9.2,0,0,0.006,0
O00666,P0051,Chemicals,W5,Q3,Shelf,0,0,31.0,2.54,1.35,7.0,73.0,32,14,0,2025-11-14,10.777,0.3595,10.39,0,0,0.028,1
